,City,Year,Total Murders,Unsolved Murders,Unsolved Murder %,% Total Asian,% Unsolved Asian,% Total Black,% Unsolved Black,% Total Hispanic,% Unsolved Hispanic,% Total White,% Unsolved White,% Total Other,% Unsolved Other,% Total Unknown,% Unsolved Unknown
0,Columbus,2017,151,101,0.6688741721854304,0.0,,0.08030199039121483,0.7008547008547008,0.002059025394646534,0.3333333333333333,0.002059025394646534,0.5925925925925926,0.002745367192862045,0.5,0.0,
0,Dallas,2007,210,108,0.5142857142857142,0.0,,0.0,,0.0,,0.0,,0.0,,0.1441317776252574,0.5142857142857142
0,Dallas,2008,182,77,0.4230769230769231,0.0,,0.0,,0.0,,0.0,,0.0,,0.12491420727522307,0.4230769230769231
0,Dallas,2009,177,90,0.5084745762711864,0.0,,0.0,,0.0,,0.0,,0.0,,0.12148249828414551,0.5084745762711864
0,Dallas,2010,159,65,0.4088050314465409,0.0,,0.0,,0.0,,0.0,,0.0,,0.1091283459162663,0.4088050314465409
0,Dallas,2011,146,71,0.4863013698630137,0.0,,0.0,,0.0,,0.0,,0.0,,0.10020590253946465,0.4863013698630137
0,Dallas,2012,163,76,0.4662576687116564,0.0,,0.0,,0.0,,0.0,,0.0,,0.11187371310912834,0.4662576687116564
0,Dallas,2013,150,66,0.44,0.0,,0.0,,0.0,,0.0,,0.0,,0.1029512697323267,0.44
0,Dallas,2014,131,75,0.5725190839694656,0.0,,0.0,,0.0,,0.0,,0.0,,0.08991077556623199,0.5725190839694656
0,Dallas,2015,141,61,0.4326241134751773,0.0,,0.0,,0.0,,0.0,,0.0,,0.0967741935483871,0.4326241134751773
0,Dallas,2016,186,102,0.5483870967741935,0.0,,0.0,,0.0,,0.0,,0.0,,0.1276595744680851,0.5483870967741935
0,Dallas,2017,48,27,0.5625,0.0,,0.0,,0.0,,0.0,,0.0,,0.032944406314344546,0.5625
0,Denver,2007,0,0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
0,Denver,2008,0,0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
0,Denver,2009,0,0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
0,Denver,2010,40,22,0.55,0.0006863417982155113,,0.009608785175017159,0.6428571428571429,0.009608785175017159,0.5,0.009608785175017159,0.6,0.0006863417982155113,,0.0,
0,Denver,2011,46,21,0.45652173913043476,0.0,,0.011667810569663692,0.6470588235294118,0.009608785175017159,0.2857142857142857,0.009608785175017159,0.35714285714285715,0.0006863417982155113,1.0,0.0,
0,Denver,2012,42,19,0.4523809523809524,0.0006863417982155113,,0.009608785175017159,0.35714285714285715,0.0075497597803706245,0.6363636363636364,0.0075497597803706245,0.4375,0.0,,0.0,
0,Denver,2013,45,26,0.5777777777777777,0.0006863417982155113,,0.008922443376801648,0.6153846153846154,0.01098146877144818,0.6875,0.01098146877144818,0.5,0.0006863417982155113,,0.0,
0,Denver,2014,31,20,0.6451612903225806,0.0006863417982155113,,0.0061770761839396015,0.7777777777777778,0.0068634179821551134,0.8,0.0068634179821551134,0.4,0.0006863417982155113,1.0,0.0,
0,Denver,2015,57,33,0.5789473684210527,0.0,,0.02127659574468085,0.5806451612903226,0.008922443376801648,0.7692307692307693,0.008922443376801648,0.38461538461538464,0.0,,0.0,
0,Denver,2016,60,39,0.65,0.0006863417982155113,1.0,0.014413177762525738,0.6666666666666666,0.013040494166094716,0.6842105263157895,0.013040494166094716,0.6111111111111112,0.0006863417982155113,,0.0,
0,Denver,2017,8,5,0.625,0.0,,0.0006863417982155113,1.0,0.0013726835964310226,0.5,0.0013726835964310226,0.6,0.0,,0.0,
0,Detroit,2007,0,0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
0,Detroit,2008,0,0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
0,Detroit,2009,0,0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
0,Detroit,2010,334,220,0.6586826347305389,0.002745367192862045,1.0,0.20178448867536034,0.6598639455782312,0.004804392587508579,0.5714285714285714,0.004804392587508579,0.6206896551724138,0.0,,0.0,
0,Detroit,2011,373,248,0.6648793565683646,0.0006863417982155113,,0.22923816060398078,0.6796407185628742,0.0068634179821551134,0.6,0.0068634179821551134,0.5357142857142857,0.0,,0.0,
0,Detroit,2012,416,267,0.6418269230769231,0.002059025394646534,0.3333333333333333,0.2546328071379547,0.6576819407008087,0.0075497597803706245,0.7272727272727273,0.0075497597803706245,0.43333333333333335,0.0006863417982155113,1.0,0.0,
0,Detroit,2013,364,229,0.6291208791208791,0.0006863417982155113,1.0,0.2189430336307481,0.6426332288401254,0.008922443376801648,0.46153846153846156,0.008922443376801648,0.5333333333333333,0.0006863417982155113,1.0,0.0,
0,Detroit,2014,318,154,0.48427672955974843,0.0,,0.19698009608785175,0.49477351916376305,0.0013726835964310226,0.5,0.0013726835964310226,0.3793103448275862,0.0,,0.0,
0,Detroit,2015,302,153,0.5066225165562914,0.0,,0.19148936170212766,0.5053763440860215,0.0006863417982155113,1.0,0.0006863417982155113,0.5,0.0,,0.0,
0,Detroit,2016,324,183,0.5648148148148148,0.0,,0.19766643788606725,0.5729166666666666,0.0,,0.0,0.45454545454545453,0.0006863417982155113,1.0,0.0013726835964310226,1.0
0,Detroit,2017,287,150,0.5226480836236934,0.0,,0.17844886753603295,0.5307692307692308,0.002059025394646534,0.3333333333333333,0.002059025394646534,0.4090909090909091,0.0013726835964310226,1.0,0.0,
0,Durham,2007,27,2,0.07407407407407407,0.0,,0.015785861358956762,0.08695652173913043,0.0013726835964310226,,0.0013726835964310226,,0.0,,0.0,
0,Durham,2008,25,8,0.32,0.0,,0.013726835964310227,0.3,0.002745367192862045,0.5,0.002745367192862045,,0.0006863417982155113,,0.0,
